"","sample","Adenine","Adenosine","Adenosine.5.Diphosphoribose","Adipic.acid","Alanine","Allantoin","Anserine","Arginine","Asparagine","Aspartic.acid","Azelaic.acid","Biotin","CAR.12.0","Carnosine","Chenodeoxycholic.acid","Cholic.acid","Ciliatine","cis.4.Hydroxyproline","cis.p.Coumaric.acid","Citrulline","CMP","Corticosterone","Cortisol","Cortisone","Creatine","Cystathionine","Cysteic.acid","Cytidine","Cytidine.2.3.cMP","D.Fucose","Gulonic.Acid.Gamma.Lactone","dAMP","Deoxycytidine","Deoxyuridine","Dihydroxyacetone.phosphate","DL.O.Phosphoserine","Docosahexaenoic.acid","Gluconic.acid","Glucosamine","Glucosamine.6.phosphate","Glucose","Glucose.1.phosphate","Glucuronic.acid","Glutamic.acid","Glutamine","Glutaric.acid","Glutathione","Glycocholic.acid","Guanidinosuccinic.acid","Guanine","Guanosine","Guanosine.5.Monophosphate","Hippuric.acid","Histidine","Hypoxanthine","Indoleacetic.acid","Indolepyruvate","Indoxyl.sulfate","Inosine","Inosine.5.Monophosphate","Itaconic.acid","Ketoleucine","L.Arabitol","Leucine","LL.2.6.Diaminoheptanedioate","Lysine","Maleic.acid","Methionine","Methyl.beta.D.galactoside","Methyl.jasmonate","N.2..Acetyllysine","N.Acetyl.beta.glucosaminylamine","N.Acetyl.D.glucosamine","N.Acetyl.D.tryptophan","N.Acetylalanine","N.Acetylaspartic.acid","N.Acetylcysteine","N.Acetylglutamic.acid","N.Acetylleucine","N.Acetylmethionine","N.Acetylphenylalanine","N.Acetylserine","N.Formylmethionine","N.Methyl.glutamic.acid","NAD.","Nicotinic.acid","Ophthalmic.acid","Ornithine","Orotic.acid","Oxoglutaric.acid","Pantothenic.acid","Phosphoethanolamine","Pimelic.acid","Pterin","Pyridoxal","Quinaldic.acid","Raffinose","Riboflavin","Ribose","X5.Adenosyl.l.Homocysteine","Serine","Shikimic.acid","sn.Glycero.3.phosphate","Sorbitol","Stachyose","Suberic.acid","Succinic.acid","Taurine","Taurolithocholic.acid","Threonine","Thymidine","Thymidine.5.monophosphate","trans.Aconitic.acid","Trehalose","Tryptophan","Tyrosine","UMP","Uracil","Uric.acid","Uridine","Uridine.5.Diphospho.N.Acetylglucosamine","Uridine.5.diphosphoglucose","Urocanic.acid","X10.Hydroxydecanoic.acid","X12.Hydroxy.lauric.acid","X2.4.Dihydroxyacetophenone","X2.Aminobenzoic.acid","X2.Deocytidine.5.monophosphate","X2.deoxyguanosine.5.monophosphate","X3..2.Hydroxyphenyl.propanoic.acid","X3.Dehydroshikimate","X3.Hydroxybutyric.acid","X3.Methyl.pyruvic.acid","X4.Acetamidobutanoic.acid","X4.Hydroxybenzoic.acid","X5.Hydroxy.tryptophan","X5.Hydroxylysine","X5.Oxo.D.proline","X6.Hydroxynicotinic.acid","Xanthine","Xanthosine"
"1","cec_gf_12_F_1",25901.46289,379968.5313,NA,84043.5625,104966.9688,5323422.5,10059.29785,4195792.5,2766234.75,890877,1461610.125,3723.858154,NA,14459.66113,NA,2577.85791,NA,221953.8281,58153.03906,63252.47656,NA,223329.1875,3323.761719,NA,76223.75,7296.01416,5140.060547,217882.625,NA,15318.40625,280784.375,NA,50056.08984,304077.3125,NA,3279.517334,52103.16797,212692.4219,31467.12695,30831.55664,1225110,NA,268810.0313,13526415,5652995.5,120274.4531,NA,NA,5427.929199,57306.33203,833304.25,NA,4645.975586,1546622.875,587178.5625,11792.62109,39240.13281,NA,1539941.625,2691.605957,42199.19922,22877.44727,1406321.375,255422.3281,142702.1406,170134.2813,8570.139648,210017.7813,167967.2344,13426.76465,185056.3906,175770.9531,72255.90625,69360.75,969961.625,24563.42578,22029.35156,32204.80859,54830.80469,837411.9375,14922.52734,562869.4375,39129.14453,34194.10938,NA,10937.33301,299010.7188,315380.5313,11385.78516,4448.322266,29372.02539,NA,54458.14063,8439.979492,179882.875,112694.7734,261087.3438,2724.479248,NA,4576.65625,4021267.75,500463.9063,NA,3571627,208487.8594,369034,285786.625,1193759.5,NA,10783067,714653.625,NA,34882.80078,125631.0703,127156.8047,454289.7188,3800.229492,207601.625,358863,2201825.25,NA,NA,165928.7031,4375.287598,3122.298828,12945.74121,31709.8457,NA,NA,7768.973633,8244.201172,146163.7031,148214.4688,43978.23828,30511.07227,3972.16748,16621.58008,954794.9375,23851.56836,2693622.75,127557.0313
"2","cec_gf_12_F_2",22946.85547,300630.3125,NA,91624.07813,67343.64063,4249886,9738.517578,2997445,2238946.25,806900.3125,1879710.625,2567.481689,NA,15078.33984,NA,2739.371094,NA,164859.7813,43083.94531,64736.23438,NA,330138.9688,4294.212891,NA,58846.3125,4367.329102,6239.851563,213604.5469,NA,15354.31055,248467.625,NA,35769.98828,201340.2813,NA,3547.289551,87684.88281,189731.9688,36472.26563,25530.59375,1193545.625,3304.351318,193190.4063,11664364,4519227.5,177677.2188,NA,NA,3109.668945,48983.39844,579702.8125,NA,4733.699219,1025324,437557.75,9556.097656,33936.51563,3282.549561,1142119.25,2721.923096,49675.86719,21827.18945,1277822.625,197225.625,143322.125,128437.5469,8506.222656,162590.1719,162094.5938,29261.85742,148056.3438,137061.4219,54557.33984,67648.80469,985979.3125,22172.70898,21854.75391,34339.82813,51053.39844,722661.4375,16149.9834,488148.4688,29927.66602,40411.89063,NA,9774.166016,225890.25,222604.6094,10978.49023,3812.898193,23939.10938,NA,50413.95703,4406.19873,209499.3125,81600.01563,264030.4375,2633.856934,NA,4750.444336,3050009.5,509658.4688,NA,3358242.25,230850.375,310066.4375,317557.375,983426.5625,NA,8422959,550826.625,2538.905518,31494.7207,108968.0156,94089.60938,298838.75,2707.810547,192449.8594,310153.4063,1426874,NA,NA,282813,3756.816895,NA,15347.39453,21999.36328,NA,NA,8054.023438,8406.178711,120829.3516,145742.0313,43062.06641,27084.53906,2771.961182,10838.56348,851047.9375,22962.61328,1908695.875,81674.6875
"3","cec_gf_12_F_3",24989.65625,277427.2813,NA,68119.99219,87379.33594,3250975,7915.497559,3580104.25,2236781.25,709601.75,2226540.5,NA,NA,11916.71191,NA,3101.148193,NA,203459.4531,43961.24609,44161.93359,NA,453231.7188,3145.571289,NA,50729.34375,5143.913086,5866.057129,185047.7813,NA,11651.13965,233772.2656,NA,49963.59375,165893.6094,NA,NA,88353.71875,157307.3438,34630.40234,24304.375,1013799.5,NA,174023.7969,10466382,5113181,114709.1875,NA,NA,NA,49167.05469,519056.3438,NA,4021.349609,1246301.75,559617.1875,10155.46094,29876.25391,4306.876465,1024425.438,NA,61036.21875,19204.83984,1289057.75,278185.6875,136526.6563,131573.2969,7015.628906,222955.3125,163440.9688,22649.80859,157444.8438,124802.2266,70820.02344,62011.21484,1004243.375,17145.90039,19416.47656,25141.38281,49233.72656,725058.3125,12012.46289,439022,32807.35547,31941.80469,NA,11186.39551,242310.1406,283459.7188,8272.699219,3466.107422,25913.76172,NA,49276.57031,3434.703125,152099.7656,80884.80469,215841.5781,NA,NA,3107.862793,3330029.5,532422.9375,NA,3162593,187197.7188,435496.7813,243385.7188,954439.4375,NA,8595468,519378.2188,2720.074219,33335.62891,121224.0156,117845.5625,385398.9688,3629.721436,147855.1406,237506.2188,1217737.75,NA,NA,244248.7969,3817.018799,4003.951416,20709.86328,21746.95313,NA,NA,8396.805664,7961.558105,153704.1719,124955.0703,39968.45703,20548.17188,5376.60498,12623.26563,941968.375,22590.44141,2149595,60742.11719
"4","cec_gf_12_F_4",22199.43945,321273.0938,NA,36320.41406,82849.01563,3249784,8928.960938,3838710.25,2571361,597872,1084984,2513.113037,NA,19470.14258,NA,NA,NA,179216.875,39190.94531,63773.23438,NA,730445.0625,3370.103271,NA,54744.66406,4915.440918,5442.39209,183861.2813,NA,13319.74512,241430.7969,NA,49614.14453,225567.9844,NA,2509.881348,48998.74609,149891.5781,30285.14844,26317.10547,1214193.375,NA,198351.5625,11095954,5575793,57031.66797,NA,NA,NA,61180.76563,637032.0625,NA,3691.441406,1378872.125,583883.875,12204.50391,31950.49023,NA,1260063.125,NA,65991.05469,22460.41016,1280646.25,267461.1563,118790.4766,147131.5469,8824.425781,199381.3125,143937.3281,65609.76563,191022.4063,154246.6875,66664.91406,63147.84375,914851.5,19471.87891,21785.125,24517.37109,50555.80078,692301.9375,11826.32324,481764.1563,33818.24609,32056.97266,NA,9772.325195,243174.2344,300597.5938,7653.596191,2775.631104,21000.83398,NA,21170.16797,NA,140009.3281,72317.67969,266320.6563,NA,NA,3019.780762,3502822.75,466688.625,NA,3260660,176709.7656,244049.5156,161170.6875,1128635.625,NA,9708171,570066.8125,2594.920898,27033.32227,117681.4141,116901.3438,412737.125,2904.830322,156303.0313,327961,1584446.75,NA,NA,241390.5,3383.067139,3563.309082,13005.05176,17222.84375,NA,NA,6749.8125,8515.431641,243576.9844,138902.4219,40035.22656,19177.13477,4040.953369,11927.14746,1016952.375,25390.25195,2675301.75,88511.41406
"5","cec_gf_12_M_1",19880.98438,208167.5,NA,38709.39453,130194.0469,3148545.5,6981.169922,2314604,1691001.875,439224.9063,2184860,2719.707275,NA,10927.18262,NA,NA,NA,173877.0469,41889.88672,41161.21094,NA,290937,3315.684326,NA,96805.63281,2793.467529,3140.179688,204377.5469,NA,13331.44141,218586.8438,NA,33144.61719,152148.7656,NA,NA,92248.72656,135546.0313,32221.10938,18593.82227,1715569.625,NA,177300.1563,8332880,3548509.25,79903.5,NA,NA,NA,40472.70313,418921.25,NA,3632.243408,643170.0625,470295.2188,7623.506836,25884.62695,2536.196533,970498.8125,NA,51742.99219,20853.57031,1078233,158900.6875,124331.4375,63670,6353.817871,130857.2734,154697.0781,19106.62305,116809.9141,85308.13281,60609.75391,51345.53906,925673.5625,16136.53809,28772.00586,26199.89063,49556.88672,606902.8125,15933.43066,426261.1875,30773.83398,29602.72266,NA,9407.464844,200055.25,172832.7344,8055.372559,2923.492432,24867.23242,NA,20823.89844,4429.682129,189430.4375,96515.19531,247467.4219,3261.040283,NA,5082.084961,2207769.5,369036.0625,NA,3590938,202191.5156,381702.2188,191087.0625,1264837.375,NA,6138897,479540.3438,3068.682861,28847.39258,96414.16406,71673.39063,246341.6563,NA,207748.7031,280137.75,1179576.375,NA,NA,341790.9688,4397.900391,3635.568604,17750.43359,19841.55664,NA,NA,5482.469238,6226.705566,66840.17969,175639.4844,39217.29297,18133.80469,2798.423584,8907.027344,904219.9375,20491.23633,2189787.75,99639.42188
"6","cec_gf_12_M_2",21510.25586,257544.1719,NA,38504.42188,138790.6875,2766030.25,6861.125,2575205,1706427.625,378967.5625,1873012,NA,NA,14292.66016,NA,NA,NA,179903.3438,26705.10938,36509.79297,NA,385858.9375,2815.45459,NA,98130.21094,3153.817139,3391.185791,185561.2969,NA,12531.31738,228148.6094,NA,35155.51172,193814.5313,NA,2509.782715,41398.62891,139348.5938,26066.4043,19541.03516,1038932,NA,207048.8125,7445845.5,3243361,59280.08203,NA,NA,NA,58486.66797,448544.9063,NA,4144.79541,742500.75,583293.8125,9492.432617,24606.01563,NA,1070915.125,NA,64943.85156,20490.00195,1012681.563,154260.25,94177.75,62568.95703,5642.978027,142196.9375,142105.0469,65619.00781,98286.39844,86814.60938,61273.83203,55744.73828,908592.75,16715.63281,41459.73047,30816.64258,51413.79688,613238.3125,14648.14746,419537.8438,30899.63672,38426.76172,NA,9946.026367,179063.4375,182105.5469,9801.15918,3513.167725,26657.4375,NA,21648.01758,5558.22998,133426.9688,69596.11719,198678.375,NA,NA,3800.101074,2327286,359677.5,NA,3597076.75,146853.7188,329636.5313,146087.9375,1294920.75,NA,5889574,527238.5,NA,27054.6543,87370.15625,82857.82031,260224.3906,NA,147776.3125,259275.8594,1281237.875,NA,NA,303202.0938,3110.21582,2776.418945,11783.59473,12595.69434,NA,NA,10242.26367,6648.288086,73128.26563,122687.1172,39166.08594,17471.55469,4236.195313,11724.19336,934620.375,20697.75586,2448852.5,89690.49219
"7","cec_gf_12_M_3",21687.36133,171192.7656,NA,42709.48828,89332.89844,3107032.25,6754.600098,2126367.5,1477103.625,270449.6563,2440186.75,NA,NA,8530.364258,NA,NA,NA,158316.9844,38093.49609,34899.55078,NA,269474.6563,NA,NA,77493.80469,3061.907227,NA,197101.1719,NA,12977.46094,172776.8906,NA,35307.34375,119366.4531,NA,NA,127999.5625,116278.7969,30448.84375,21338.37891,1014535.125,NA,129023.8281,5994937.5,3059847.25,79849.53906,NA,NA,NA,37886.53906,353054.6875,NA,4002.202637,602740.0625,410678.1563,7550.978027,25501.27734,NA,759081.25,NA,69584.28906,26063.42383,995184.75,122151.4844,118114.1953,46101.4375,7401.504395,105068.4219,145511.0781,14970.28613,101832.4453,79327.64063,62867.23828,49012.07031,908474.6875,16704.81836,30596.20313,24224.72852,49778.69922,616558.4375,14252.46094,359182.2188,28068.14063,29033.51172,NA,9865.010742,160816.6406,161585.9375,8526.191406,3287.603516,20277.58984,NA,21612.09961,5239.572754,151978.5781,86985.96094,207276.8281,3256.986572,NA,NA,2332260.75,340185.0625,NA,3079612,156489.5,355417.9688,195067.125,941936.0625,NA,5054602,407298.375,NA,25029.74805,82428.96875,61829.85156,194122.0625,NA,114622.2422,245648.1563,936177.9375,NA,NA,415427.4063,6197.026855,3583.795898,19804.58008,17724.32227,NA,NA,5448.004883,6733.044922,146067.2344,118356.5313,36661.10938,19178.83008,2699.250244,9786.460938,859481.625,19387.10352,1567038.625,53514.50391
"8","cec_gf_12_M_4",25009.5,227147.625,NA,39655.53516,114786.7266,3043672.25,5414.080078,2123631.5,1726055,418424.1875,1967669.75,NA,NA,10178.54492,NA,NA,NA,192496.5938,40858.0625,44298.22266,NA,279551.7188,4287.089355,NA,75107.32031,2842.91626,3309.923096,198988.7188,NA,17539.16016,199087.4063,NA,40707.3125,157050.5625,NA,NA,112769.7578,160385.9531,28429.44531,17646.35547,1553459,2708.359863,172425.9219,8601289,3283569.25,94749.70313,NA,NA,NA,38020.25,453262,NA,4945.424316,640441.125,401845.4688,9369.580078,28118.88086,NA,941420.1875,3299.983154,62701.47266,22953.31836,1209946.75,138664.0625,117082.6563,60048.63672,5274.105957,126938.6484,155336.3594,13246.30957,95582.35938,89408.88281,55306.57813,57122.29297,982472.9375,16436.49023,30482.23242,27889.56445,56014.23438,647269.125,19711.89844,431350.5625,34188.72656,32474.35938,NA,12789.24121,224762.3906,167098.4844,11225.7373,3653.135254,30809.27539,NA,22840.64844,5796.743164,175474.8125,82514.0625,255270.5938,3194.040527,NA,5336.563965,2176423.25,374537.5625,NA,4016698.75,200161.2969,321020.1563,197568.4063,1005901.25,NA,6124140.5,470446.5625,2529.867188,31738.94727,98775.60156,72195.79688,217198.875,2970.38623,136111.2344,257962.8594,1177512.5,NA,NA,456728.6875,5079.584961,NA,20203.53516,19815.2793,NA,NA,6316.236816,8047.57373,92674.9375,170391.6719,44140.50781,17575.06836,3246.335449,9120.50293,911002.625,21967.42969,1846521.875,70482.1875
"9","cec_gf_3_F_1",23343.29297,92187.91406,NA,332908.5313,46388.62891,5290137.5,3300.571533,673839.8125,385098.7813,432482.375,2343262.25,NA,NA,9871.827148,NA,7027.494629,NA,28465.46289,60779.5,15708.19043,NA,NA,2673.281006,NA,34296.50781,2728.511963,2636.742188,139197.8438,NA,13661.90234,204298.9375,NA,26286.52734,10290.66699,NA,NA,14698.10547,44240.33984,22548.29297,10885.59277,812645.75,3986.616943,105813.4375,2851056.75,633730.5625,418869.4688,NA,NA,NA,41416.39844,47861.34766,NA,5934.856445,131711.6563,84134.03906,4614.678711,37935.25781,2511.43042,366244.3438,NA,241098.7813,18381.86133,1031205.625,25901.51367,51522.77734,10416.30176,27886.75195,24604.32617,140590.7969,7750.550293,32358.8125,32837.03125,95188.39844,45120.11719,849992.0625,21901.10156,16534.06445,21962.02148,55510.72266,446527,23330.83398,217238.3906,16894.24219,25403.50195,NA,21050.72852,103576.8438,47025.0625,26908.91602,NA,12032.75488,NA,139805.3438,5009.984375,160860.3438,115151.8359,132934.8281,7216.195801,NA,NA,492915.4063,325906.0938,NA,1947856.875,129714.0938,527548.9375,792572.8125,1186392.5,NA,810601.8125,204734.875,NA,92964.92969,80862.29688,21701.44727,52249.21094,NA,34390.55859,146122.3281,114412.1094,NA,NA,2872488.25,6075.75,3064.125488,24364.11328,21764.31641,NA,NA,10210.54688,9670.21875,296448.5938,103723.2188,52534.30469,54925.57031,NA,4187.989258,712324.6875,22446.95703,79141.375,6360.717285
"10","cec_gf_3_F_2",23712.97656,88126.04688,NA,55497.36719,39065.5625,6889569,3999.479492,665147.25,396040.4688,347711.6875,2334932.75,NA,NA,15311.90137,NA,2618.629639,NA,39894.13672,47611.15625,14987.83008,NA,82657.09375,3088.752197,NA,30277.19336,4117.328125,NA,182284.0469,NA,14075.25781,239561.6719,NA,34804.05859,14001.88086,NA,NA,169683.8594,159014.0625,76933.41406,15132.4375,954553.625,3239.475586,169200.7344,3842823,653193.75,139923.3438,NA,NA,NA,37538.68359,42743.19141,NA,6320.350586,135431.6094,31630.18359,6337.916504,36794.34375,3706.111572,106022.9844,NA,189510.0469,18120.65039,1040248.688,50215.14844,155372.625,22852.00195,7990.143066,36097.48047,156203.2031,7306.758789,74032.51563,156085.8438,94302.96875,42623.07422,1034386.313,19875.30078,18600.44531,29907.40625,74109.10938,730589.3125,29976.36914,235212.8438,21458.02539,61867.95703,NA,12357.21191,152577.625,65751.32813,73538.1875,3088.55835,12388.70703,NA,34784.58203,5696.854004,243758.5938,83634.44531,215545.625,NA,NA,3941.586426,615107.875,335267.0625,NA,2485807.25,215700.4844,434309.3125,253334.8906,593925.9375,NA,994037.8125,267261.6563,NA,60032.47656,163236.1875,22647.98242,55410.22266,NA,26812.25391,172287.0781,89137.89844,NA,NA,2481137.75,5513.195801,5492.558594,35346.44922,20501.34961,NA,NA,12477.16406,10210.15625,265667.6875,117086.6094,59243.38672,31946.69727,NA,3073.779053,460229.5,28671.68555,137925.2344,10199.90625
